id,mode,tier,group,experiment,setting,algorithm,setup,arm,reduced_from_k,dataset,model,loss,group_n,coset_subgroup,task,optimizer,p,hidden_width,n_layers,activation,init_scale,batch_size,n_train,n_test,alpha,seed,num_clients,local_epochs,num_rounds,fraction_train,partition,dirichlet_alpha,proximal_mu,strategy,server_lr,server_momentum,tau,eval_every,checkpoint_every,epochs,log_every,momentum,lr,weight_decay,grok_threshold,t_grok,t_first_cross,t_50,t_memo,delay,post_grok_dips,final_acc,final_train_acc,peak_train_acc,final_ipr,grokked,censored,steps_run,wall_s,checkpoint_client_weights,d_mlp,feddyn_alpha,n_heads,persist_local_opt_state,track_client_drift
fede_addition_01ff7f831825,federated,T2,boundary,boundary,,,,,,modular,groknet,mse,5,s_nm1,addition,gd,97,256,3,quadratic,1.0,0,1000,5000,0.25,456,97,5,20000,1.0,operand,0.5,0.0,fedavg,1.0,0.0,0.001,20,1000,10000,100,0.0,50.0,0.0,95.0,77500.0,77300.0,58400.0,17300.0,60200.0,1,100.0,100.0,100.0,0.24446137249469757,True,False,100000.0,14909.8,True,512,0.01,4,False,True
fede_addition_02167f9caf36,federated,T2,aggregation,exp2,,,A',fl,,modular,groknet,mse,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.2,456,20,5,20000,1.0,iid,0.5,0.0,fedavg,1.0,0.0,0.001,20,2000,10000,100,0.0,0.001,0.1,95.0,60900.0,60900.0,51500.0,2300.0,58600.0,0,100.0,100.0,100.0,0.28263360261917114,True,False,100000.0,3978.8,True,512,0.01,4,False,True
fede_addition_02bb07889557,federated,T3,algorithms,algo,H1,fedavgm,,,,modular,groknet,mse,5,s_nm1,addition,gd,97,256,3,quadratic,1.0,0,1000,5000,0.25,1011,10,25,10000,1.0,iid,0.5,0.0,fedavgm,1.0,0.9,0.001,20,0,10000,100,0.0,50.0,0.0,95.0,8000.0,8000.0,6000.0,1000.0,7000.0,0,99.2206335067749,100.0,100.0,0.43590906262397766,True,False,250000.0,2240.3,False,512,0.01,4,False,True
fede_addition_0316465393ac,federated,T3,algorithms,algo,H3,fedyogi,,,,modular,groknet,mse,5,s_nm1,addition,gd,97,256,3,quadratic,1.0,0,1000,5000,0.3,456,10,50,10000,1.0,dirichlet,0.1,0.0,fedyogi,0.1,0.0,0.001,20,0,10000,100,0.0,50.0,0.0,95.0,3000.0,3000.0,2000.0,2000.0,1000.0,0,100.0,100.0,100.0,0.4713132381439209,True,False,500000.0,2586.4,False,512,0.01,4,False,True
fede_addition_031885d33bac,federated,S2b,k50_hparam,gate_a,,,B,,,modular,transformer,ce,5,s_nm1,addition,adamw,113,128,3,quadratic,1.0,0,1000,5000,0.3,42,50,5,2000,1.0,iid,0.5,0.0,fedavg,1.0,0.0,0.001,20,0,10000,100,0.0,0.0001,1.0,95.0,inf,inf,inf,inf,inf,0,0.13424321077764034,4.621409997344017,5.718015506863594,nan,False,True,10000.0,1458.7,False,512,0.01,4,False,True
fede_addition_03fac72f69ac,federated,T3a,dirichlet_setups,exp3a,,,A,,,modular,groknet,mse,5,s_nm1,addition,gd,97,256,3,quadratic,1.0,0,1000,5000,0.3,123,10,5,10000,1.0,dirichlet,0.1,0.0,fedavg,1.0,0.0,0.001,20,1000,10000,100,0.0,50.0,0.0,95.0,13300.0,13300.0,11200.0,3600.0,9700.0,0,100.0,100.0,100.0,0.3931155800819397,True,False,50000.0,1495.0,True,512,0.01,4,False,True
fede_addition_05c15fe5190a,federated,T3a,dirichlet_setups,exp3a,,,A,,,modular,groknet,mse,5,s_nm1,addition,gd,97,256,3,quadratic,1.0,0,1000,5000,0.3,42,10,5,10000,1.0,dirichlet,1.0,0.0,fedavg,1.0,0.0,0.001,20,1000,10000,100,0.0,50.0,0.0,95.0,12900.0,12900.0,10900.0,3700.0,9200.0,0,100.0,100.0,100.0,0.41303086280822754,True,False,50000.0,1503.5,True,512,0.01,4,False,True
fede_addition_05d53f6a9a1f,federated,T4b,participation,exp4b,,,A,,,modular,groknet,mse,5,s_nm1,addition,gd,97,256,3,quadratic,1.0,0,1000,5000,0.25,42,50,5,100000,0.2,iid,0.5,0.0,fedavg,1.0,0.0,0.001,20,5000,10000,100,0.0,50.0,0.0,95.0,7700.008503401997,7700.008503401997,5759.955357143138,699.9681122448994,7000.0403911570975,0,99.85829591751099,100.0,100.0,0.42379361391067505,True,False,99999.40688793358,15801.1,True,512,0.01,4,False,True
fede_addition_060271fd1e31,federated,S2b,k50_hparam,gate_a,,,B,,,modular,transformer,ce,5,s_nm1,addition,adamw,113,128,3,quadratic,1.0,0,1000,5000,0.3,42,50,5,2000,1.0,iid,0.5,0.0,fedavg,1.0,0.0,0.001,20,0,10000,100,0.0,0.0003,1.0,95.0,inf,inf,inf,inf,inf,0,0.2684864215552807,3.4203656017780304,3.7336815148591995,nan,False,True,10000.0,1439.0,False,512,0.01,4,False,True
fede_addition_0688b9000034,federated,T3a,size_control,exp3a,,,A,,,modular,groknet,mse,5,s_nm1,addition,gd,97,256,3,quadratic,1.0,0,1000,5000,0.25,456,20,5,20000,1.0,dirichlet_sizes,0.01,0.0,fedavg,1.0,0.0,0.001,20,1000,10000,100,0.0,50.0,0.0,95.0,32100.0,32100.0,24500.0,3200.0,28900.0,0,100.0,100.0,100.0,0.40391454100608826,True,False,100000.0,3669.4,True,512,0.01,4,False,True
