id,setup,mode,group,arm,dataset,model,optimizer,loss,alpha,n_train,hidden_width,weight_decay,lr,seed,num_clients,local_epochs,fraction_train,partition,dirichlet_alpha,strategy,server_lr,proximal_mu,num_rounds,epochs,grok_threshold,t_memo,t_first_cross,t_grok,grokked,peak_train_acc,final_acc,steps_run,axis,path,step_a,step_b,barrier_train_loss,barrier_rel,min_test_acc_path,min_test_acc_lambda,test_acc_mid,test_acc_start,test_acc_end,train_loss_start,train_loss_end
fede_addition_cd1e65d61038,A,federated,partitions,,modular,groknet,gd,mse,0.3,1000,256,0.0,50.0,123,50,5,1.0,target,0.5,fedavg,1.0,0.0,10000,10000,95.0,36700.0,30300.0,30300.0,True,100.0,100.0,50000.0,partition,fed_to_twin,50000.0,50000.0,0.005452497966871306,2.2027336796567796,99.71155548095703,0.4,99.96963500976562,100.0,100.0,0.004921603947877884,2.9060780434519984e-05
fede_addition_cee7eff8247e,A',federated,partitions,,modular,groknet,adamw,mse,0.2,1000,256,0.1,0.001,123,20,5,1.0,target,0.5,fedavg,1.0,0.0,20000,10000,95.0,33100.0,33400.0,33400.0,True,100.0,100.0,100000.0,partition,memo_to_end,30000.0,100000.0,0.0011931435437873006,0.22464032484546836,78.20138549804688,0.0,99.78746032714844,78.20138549804688,100.0,0.0072980658151209354,0.003324635559692979
fede_addition_cee7eff8247e,A',federated,partitions,,modular,groknet,adamw,mse,0.2,1000,256,0.1,0.001,123,20,5,1.0,target,0.5,fedavg,1.0,0.0,20000,10000,95.0,33100.0,33400.0,33400.0,True,100.0,100.0,100000.0,partition,init_to_end,0.0,100000.0,0.0019007735885679718,0.2787650992447733,0.9431456327438354,0.0,100.0,0.9431456327438354,100.0,0.010312463156878948,0.003324635559692979
fede_addition_cee7eff8247e,A',federated,partitions,,modular,groknet,adamw,mse,0.2,1000,256,0.1,0.001,123,20,5,1.0,target,0.5,fedavg,1.0,0.0,20000,10000,95.0,33100.0,33400.0,33400.0,True,100.0,100.0,100000.0,partition,fed_to_twin,100000.0,100000.0,0.009047438250377127,5.4383380530634975,70.66950225830078,0.4,71.69234466552734,100.0,100.0,0.003324635559692979,2.6450036330061266e-06
fede_addition_cf115fcbfe53,A',federated,partitions,,modular,groknet,adamw,mse,0.2,1000,256,0.1,0.001,42,10,5,1.0,target,0.5,fedavg,1.0,0.0,20000,10000,95.0,1900.0,18100.0,18100.0,True,100.0,100.0,100000.0,partition,init_to_end,0.0,100000.0,0.002412085607647896,0.41341558949707524,0.8900105953216553,0.0,100.0,0.8900105953216553,100.0,0.010311542078852654,0.001357517670840025
fede_addition_cf115fcbfe53,A',federated,partitions,,modular,groknet,adamw,mse,0.2,1000,256,0.1,0.001,42,10,5,1.0,target,0.5,fedavg,1.0,0.0,20000,10000,95.0,1900.0,18100.0,18100.0,True,100.0,100.0,100000.0,partition,fed_to_twin,100000.0,100000.0,0.00791489296761938,11.642403529520408,97.3963851928711,0.5,97.3963851928711,100.0,100.0,0.001357517670840025,2.1488185666385107e-06
fede_addition_cf44e689dcfa,A,federated,aggregation,fl,modular,groknet,gd,mse,0.3,1000,256,0.0,50.0,456,20,5,1.0,iid,0.5,fedavg,1.0,0.0,10000,10000,95.0,3800.0,14100.0,14100.0,True,100.0,100.0,50000.0,K,memo_to_end,5000.0,50000.0,0.003105868283455493,0.8775903547044596,0.18217700719833374,0.0,98.95248413085938,0.18217700719833374,100.0,0.0070404368452727795,3.7736397644039243e-05
fede_addition_cf44e689dcfa,A,federated,aggregation,fl,modular,groknet,gd,mse,0.3,1000,256,0.0,50.0,456,20,5,1.0,iid,0.5,fedavg,1.0,0.0,10000,10000,95.0,3800.0,14100.0,14100.0,True,100.0,100.0,50000.0,K,init_to_end,0.0,50000.0,0.002625117023126222,0.5074877139269979,0.8957036733627319,0.0,100.0,0.8957036733627319,100.0,0.010307802818715572,3.7736397644039243e-05
fede_addition_cf44e689dcfa,A,federated,aggregation,fl,modular,groknet,gd,mse,0.3,1000,256,0.0,50.0,456,20,5,1.0,iid,0.5,fedavg,1.0,0.0,10000,10000,95.0,3800.0,14100.0,14100.0,True,100.0,100.0,50000.0,K,fed_to_twin,50000.0,50000.0,0.001123478403314948,31.5076560428869,100.0,0.0,100.0,100.0,100.0,3.7736397644039243e-05,3.35782315232791e-05
fede_addition_cff610ec23e5,A,federated,aggregation,fl,modular,groknet,gd,mse,0.3,1000,256,0.0,50.0,123,20,5,1.0,iid,0.5,fedavg,1.0,0.0,10000,10000,95.0,3700.0,13300.0,13300.0,True,100.0,100.0,50000.0,K,memo_to_end,5000.0,50000.0,0.0030672411176055903,0.8649009352141336,0.1366327702999115,0.0,99.24092864990234,0.1366327702999115,100.0,0.007052259985357523,4.043928856845014e-05
