setup,metric,n_crossed,n_memorised_not_crossed,rho_memo_vs_log_delay,p_memo_delay,n_memo,rho_memo_vs_log_tcross,rho_cross_vs_log_delay,p_cross_delay,n_cross,rho_cross_vs_log_tcross,auc_memo_crossed_vs_not
A',fn_gap_loss,10,0,0.38181818181818183,0.2872900976076061,10,0.41818181818181815,0.38181818181818183,0.2872900976076061,10,0.406060606060606,
A',fn_gap_acc,10,0,0.5393939393939393,0.11044794375727386,10,0.49090909090909085,-0.28484848484848485,0.43829532568339064,10,-0.23636363636363633,
A',fn_class_acc_gini,10,0,0.8909090909090909,0.00016085921022950566,10,0.8666666666666665,-0.1515151515151515,0.6862259925357417,10,-0.09090909090909088,
A',w_W1_fro,10,0,-0.6606060606060605,0.035690964924383985,10,-0.7212121212121211,-0.6484848484848483,0.04092215459987942,10,-0.7333333333333332,
A',w_W1_spec,10,0,-0.6484848484848483,0.04092215459987942,10,-0.6969696969696969,-0.8787878787878788,0.00028807879243805874,10,-0.9151515151515152,
A',w_W1_stable_rank,10,0,0.006060606060606061,0.9872064272268096,10,-0.07878787878787878,0.309090909090909,0.39787452872244605,10,0.24848484848484845,
A',w_W1_eff_rank,10,0,0.06666666666666665,0.8597869083267223,10,-0.04242424242424241,0.41818181818181815,0.23853901084453155,10,0.33333333333333326,
A',w_W1_sv_gini,10,0,-0.06666666666666665,0.8597869083267223,10,0.04242424242424241,-0.4424242424242424,0.20861982232327245,10,-0.38181818181818183,
A',w_W1_entry_gini,10,0,0.35757575757575755,0.32227933064762704,10,0.3696969696969697,0.4545454545454545,0.1944539988921134,10,0.4545454545454545,
A',w_W1_row_gini,10,0,-0.19999999999999998,0.5916960057596946,10,-0.17575757575757575,-0.41818181818181815,0.23853901084453155,10,-0.33333333333333326,
A',w_W1_row_pr,10,0,0.33333333333333326,0.35917013537377374,10,0.309090909090909,0.43030303030303024,0.22331670274622484,10,0.34545454545454546,
A',w_W1_dist_init,10,0,-0.6606060606060605,0.035690964924383985,10,-0.7212121212121211,-0.6121212121212121,0.05948573304439052,10,-0.6969696969696969,
A',w_W1_rel_dist_init,10,0,-0.6606060606060605,0.035690964924383985,10,-0.7212121212121211,-0.6242424242424242,0.052807109010362105,10,-0.7212121212121211,
A',w_W1_cos_init,10,0,0.8787878787878788,0.00028807879243805874,10,0.8545454545454544,-0.2121212121212121,0.5687643593672557,10,-0.22424242424242422,
A',w_W2_fro,10,0,0.5515151515151515,0.10062372351519844,10,0.6242424242424242,0.6969696969696969,0.022666709092861448,10,0.7454545454545454,
A',w_W2_spec,10,0,0.5878787878787878,0.07436788792155065,10,0.6727272727272726,0.6969696969696969,0.022666709092861448,10,0.7454545454545454,
A',w_W2_stable_rank,10,0,-0.709090909090909,0.019158938629641697,10,-0.6484848484848483,-0.09090909090909088,0.8094088305716397,10,-0.22424242424242422,
